Date,Open,High,Low,Close,Volume,Adj Close
2012-07-24,0.03,0.03,0.03,0.03,1661500,0.03
2012-07-23,0.03,0.03,0.03,0.03,602400,0.03
2012-07-20,0.03,0.03,0.03,0.03,517700,0.03
2012-07-19,0.03,0.03,0.03,0.03,1210700,0.03
2012-07-18,0.03,0.03,0.03,0.03,955000,0.03
2012-07-17,0.03,0.03,0.03,0.03,871200,0.03
2012-07-16,0.05,0.05,0.03,0.03,1047500,0.03
2012-07-13,0.03,0.03,0.03,0.03,4728200,0.03
2012-07-12,0.03,0.03,0.03,0.03,980500,0.03
2012-07-11,0.03,0.03,0.03,0.03,2460000,0.03
2012-07-10,0.03,0.03,0.03,0.03,2006500,0.03
2012-07-09,0.03,0.03,0.03,0.03,3049100,0.03
2012-07-06,0.03,0.03,0.03,0.03,1617000,0.03
2012-07-05,0.03,0.03,0.03,0.03,3224800,0.03
2012-07-03,0.03,0.03,0.03,0.03,1551300,0.03
2012-07-02,0.03,0.03,0.02,0.03,5433800,0.03
2012-06-29,0.03,0.03,0.03,0.03,6956300,0.03
2012-06-28,0.03,0.03,0.02,0.03,7566800,0.03
2012-06-27,0.03,0.03,0.02,0.02,4544500,0.02
2012-06-26,0.03,0.03,0.03,0.03,5911100,0.03
2012-06-25,0.03,0.03,0.03,0.03,3996300,0.03
2012-06-22,0.03,0.03,0.03,0.03,3941700,0.03
2012-06-21,0.03,0.03,0.03,0.03,2547100,0.03
2012-06-20,0.03,0.03,0.03,0.03,13078000,0.03
2012-06-19,0.03,0.04,0.03,0.03,6730800,0.03
2012-06-18,0.03,0.03,0.03,0.03,4033800,0.03
2012-06-15,0.03,0.04,0.03,0.03,5042700,0.03
2012-06-14,0.04,0.04,0.03,0.03,3639000,0.03
2012-06-13,0.04,0.04,0.03,0.03,4435000,0.03
2012-06-12,0.04,0.04,0.03,0.03,3792500,0.03
2012-06-11,0.04,0.04,0.04,0.04,5909300,0.04
2012-06-08,0.04,0.04,0.04,0.04,7979700,0.04
2012-06-07,0.04,0.04,0.04,0.04,4742000,0.04
2012-06-06,0.04,0.04,0.04,0.04,3096800,0.04
2012-06-05,0.05,0.05,0.04,0.04,4827100,0.04
2012-06-04,0.04,0.05,0.04,0.04,2231700,0.04
2012-06-01,0.05,0.05,0.04,0.04,3888500,0.04
2012-05-31,0.05,0.05,0.04,0.04,5091900,0.04
2012-05-30,0.05,0.06,0.05,0.05,19150300,0.05
2012-05-29,0.06,0.06,0.05,0.05,2346400,0.05
2012-05-25,0.06,0.06,0.06,0.06,2143400,0.06
2012-05-24,0.06,0.07,0.06,0.06,3935500,0.06
2012-05-23,0.06,0.06,0.06,0.06,2816600,0.06
2012-05-22,0.06,0.06,0.05,0.06,2810000,0.06
2012-05-21,0.05,0.05,0.05,0.05,1927400,0.05
2012-05-18,0.05,0.05,0.05,0.05,1986700,0.05
2012-05-17,0.06,0.06,0.05,0.05,2585500,0.05
2012-05-16,0.05,0.06,0.05,0.05,6550700,0.05
2012-05-15,0.04,0.05,0.04,0.04,3514400,0.04
2012-05-14,0.04,0.04,0.04,0.04,943100,0.04
2012-05-11,0.04,0.04,0.04,0.04,1509000,0.04
2012-05-10,0.04,0.04,0.04,0.04,747000,0.04
2012-05-09,0.04,0.04,0.04,0.04,1010200,0.04
2012-05-08,0.04,0.04,0.04,0.04,1413700,0.04
2012-05-07,0.04,0.04,0.04,0.04,962300,0.04
2012-05-04,0.04,0.04,0.04,0.04,1010600,0.04
2012-05-03,0.04,0.04,0.03,0.04,1301400,0.04
2012-05-02,0.04,0.04,0.03,0.04,1706500,0.04
2012-05-01,0.04,0.04,0.03,0.03,3474300,0.03
2012-04-30,0.05,0.05,0.03,0.04,5542100,0.04
2012-04-27,0.05,0.05,0.04,0.04,4814800,0.04
2012-04-26,0.05,0.05,0.05,0.05,1789400,0.05
2012-04-25,0.05,0.05,0.05,0.05,1337200,0.05
2012-04-24,0.05,0.05,0.05,0.05,1593000,0.05
2012-04-23,0.05,0.05,0.05,0.05,1625000,0.05
2012-04-20,0.05,0.06,0.05,0.05,1279400,0.05
2012-04-19,0.06,0.06,0.05,0.05,2222400,0.05
2012-04-18,0.05,0.06,0.05,0.06,643000,0.06
2012-04-17,0.06,0.06,0.05,0.05,3021400,0.05
2012-04-16,0.06,0.06,0.06,0.06,746900,0.06
2012-04-13,0.06,0.06,0.05,0.05,1327900,0.05
2012-04-12,0.06,0.06,0.05,0.05,1438800,0.05
2012-04-11,0.05,0.06,0.05,0.05,906300,0.05
2012-04-10,0.05,0.06,0.05,0.05,1725000,0.05
2012-04-09,0.06,0.06,0.05,0.05,2160800,0.05
2012-04-05,0.06,0.06,0.06,0.06,1521100,0.06
2012-04-04,0.05,0.06,0.05,0.06,2018500,0.06
2012-04-03,0.06,0.06,0.05,0.05,1851700,0.05
2012-04-02,0.06,0.06,0.05,0.05,1946100,0.05
2012-03-30,0.05,0.06,0.05,0.06,2420200,0.06
2012-03-29,0.06,0.06,0.06,0.06,749100,0.06
2012-03-28,0.06,0.06,0.05,0.06,622200,0.06
